oid,week,fid,totalprice,num_orders
1484647,7,1993,145.5,189
1329912,7,2539,145.5,109
1368916,7,1778,162.02,296
1161613,7,1062,161.02,378
1079377,7,2707,228.92,230
1449742,7,1207,390,189
1379801,7,1230,390,216
1466829,7,2322,388.06,216
1365972,7,2290,162.02,1770
1161736,7,1727,447.23,366
1172467,7,1109,260.02,324
1031360,7,2640,241.53,27
1053640,7,2306,338.53,15
1246109,7,1216,456.93,13
1164171,7,2826,306.58,229
1487540,7,1754,216.34,108
1194455,7,1971,321.13,40
1028795,7,1902,445.23,26
1410825,7,1198,177.51,121
1167233,7,1311,148.44,177
1483877,7,1803,183.36,69
1495831,7,1558,634.41,68
1043094,7,2581,612.13,94
1111768,7,1962,611.13,42
1339790,7,2444,669.33,42
1431015,7,1525,291.03,40
1354586,7,2492,389.03,40
1036616,7,2304,436.5,42
1461167,8,1885,146.53,135
1024552,8,1993,145.5,188
1006053,8,2539,146.5,68
1194808,8,2139,435.53,13
1038047,8,2631,253.23,42
1223165,8,1778,156.17,27
1097959,8,1062,159.11,323
1053361,8,2707,230.92,204
1077728,8,1207,390,176
1084022,8,1230,378.33,15
1030222,8,2322,380.24,69
1382862,8,2290,168.84,432
1213605,8,1727,446.23,325
1246058,8,1109,239.59,297
1386524,8,2640,243.53,41
1237537,8,1216,340.5,13
1300096,8,2826,306.58,418
1459933,8,1754,287.12,80
1309504,8,1971,319.13,13
1208751,8,1198,80.54,53
1192609,8,1311,139.68,215
1390016,8,1803,265.78,81
1479154,8,1558,627.62,13
1314602,8,1962,612.13,96
1401047,8,1525,292.03,27
1373233,8,2492,388.03,14
1119392,8,1543,437.5,28
1424823,8,2304,436.5,26
1102364,9,1885,134.83,175
1277943,9,1993,146.5,189
1109446,9,2539,144.53,229
1468496,9,2139,388.03,15
1258648,9,2631,120.31,96
1414879,9,1778,162.05,433
1087016,9,1062,161.05,432
1487048,9,2707,232.86,296
1256906,9,1207,390,244
1179269,9,1230,385.09,177
1224357,9,2322,383.15,297
1109594,9,2290,292.97,242
1310754,9,1727,445.23,216
1199800,9,1109,261.96,419
1154472,9,2640,242.53,108
1497529,9,2306,244.5,26
1230476,9,1216,341.5,26
1131471,9,2826,306.58,459
1416739,9,1754,271.63,230
1238583,9,1971,319.13,94
1355060,9,1902,445.23,13
1192252,9,1770,485.03,15
1098350,9,1198,321.13,26
1495070,9,1311,160.05,82
1141217,9,1803,149.38,202
1118697,9,1558,583.03,67
1058700,9,2581,572.3,94
1109358,9,1962,619.83,82
1172166,9,1445,432.62,161
1089871,9,2444,435.53,121
1310644,9,1525,292.03,69
1328818,9,2492,389.03,69
1424873,9,1543,437.5,41
1018130,10,1885,144.56,175
1438395,10,1993,146.53,283
1064395,10,2539,145.53,161
1067626,10,2139,389.03,15
1004760,10,2631,252.23,28
1016998,10,1778,162.02,257
1071577,10,1062,159.11,459
1274365,10,2707,229.92,229
1486244,10,1207,388,82
1277522,10,1230,390,96
1470246,10,2322,381.24,188
1035833,10,2290,292.94,242
1210957,10,1727,446.23,216
1181356,10,1109,293.91,527
1473725,10,2640,280.33,13
1477679,10,2826,267.78,392
1267355,10,1754,288.12,378
1201897,10,1971,242.5,756
1147864,10,1902,445.23,14
1115529,10,1247,446.23,14
1381182,10,1311,183.36,96
1059690,10,1803,162.05,27
1397446,10,1558,582.03,55
1087116,10,2581,581.03,40
1345013,10,1962,583.03,161
1312982,10,1445,436.53,202
1284981,10,2444,436.53,283
1006850,10,2867,436.53,40
1444272,10,2760,242.53,41
1411165,10,1525,241.53,55
1311092,10,2492,388.03,53
1371833,10,1543,486.03,28
1459123,10,2304,486.03,27
1047565,11,1885,146.53,244
1057166,11,1993,145.53,188
1457692,11,2539,147.5,54
1118132,11,1248,253.23,15
1467719,11,1778,160.08,391
1035070,11,1062,162.99,460
1360650,11,2707,231.83,202
1357982,11,1207,389,94
1388496,11,1230,390,108
1249192,11,2322,390,202
1022429,11,2290,275.48,107
1124630,11,1727,445.23,378
1044271,11,1109,265.81,378
1362102,11,2640,281.33,14
1289236,11,2306,242.5,42
1007878,11,2826,277.42,405
1448895,11,1754,287.12,163
1409722,11,1971,241.53,514
1062610,11,1311,162.05,108
1183718,11,1558,583.03,96
1058299,11,2581,583.03,13
1357603,11,1962,581.03,122
1224837,11,1445,436.53,136
1398471,11,2444,436.53,82
1256724,11,2867,436.53,68
1358097,11,2760,242.53,41
1172251,11,1525,243.53,14
1430764,11,2492,387.03,54
1182732,11,2304,485.03,15
1282497,12,1885,145.53,190
1246287,12,1993,144.53,161
1349115,12,2139,388.03,15
1353529,12,1248,251.23,27
1421398,12,1778,184.36,161
1101993,12,1062,182.36,202
1129538,12,2707,194,284
1177512,12,1207,375.39,163
1352633,12,1230,381.27,123
1020006,12,2322,383.21,150
1093653,12,2290,221.16,94
1245646,12,1727,447.23,352
1220793,12,1109,288.12,378
1445569,12,2640,280.33,14
1355004,12,2306,243.5,26
1082182,12,1216,407.43,14
1257929,12,2826,282.33,499
1310684,12,1754,288.12,188
1104709,12,1971,241.53,297
1051507,12,1198,183.36,95
1327620,12,1311,162.05,189
1369437,12,1803,138.77,189
1072977,12,1558,533.53,134
1070244,12,2581,533.53,148
1128254,12,1962,555.87,123
1499292,12,2444,620.86,26
1160773,12,2867,620.86,26
1020266,12,2492,387.03,15
1101273,12,2304,485.03,15
1136216,13,1885,145.5,68
1018900,13,1993,145.5,284
1383299,13,2539,145.5,96
1128089,13,2139,436.53,13
1462943,13,2631,251.23,26
1015751,13,1778,182.36,216
1478753,13,1062,183.33,190
1062938,13,2707,191.12,283
1141075,13,1207,390,109
1061328,13,1230,390,176
1477926,13,2322,383.15,204
1498289,13,2290,279.39,257
1288438,13,1727,447.23,242
1121983,13,1109,287.18,527
1264318,13,2640,281.33,53
1130644,13,1216,406.43,13
1158426,13,2826,304.58,393
1322474,13,1754,288.12,271
1024096,13,1971,321.13,94
1412046,13,1902,445.23,14
1342088,13,1198,191.09,135
1204100,13,1311,160.05,162
1063154,13,1803,176.57,269
1432652,13,1558,534.53,215
1274797,13,2581,550.02,150
1343175,13,1962,533.53,161
1468676,13,1445,618.86,27
1443033,13,2444,618.86,40
1206047,13,2867,620.86,26
1447894,13,2760,242.53,81
1148116,13,2704,292.03,28
1181090,13,2492,388.03,13
1196793,14,1885,142.62,135
1146024,14,1993,146.53,190
1280566,14,2539,146.5,94
1260903,14,2139,436.53,13
1212771,14,2631,251.23,28
1291557,14,1248,238.62,26
1030050,14,1778,185.33,229
1265248,14,1062,174.6,148
1468002,14,2707,194,339
1095153,14,1207,319.13,296
1408560,14,1230,323.04,431
1377435,14,2322,330.83,312
1200475,14,2290,311.43,244
1195125,14,1727,447.23,379
1232592,14,1109,280.39,270
1075390,14,2640,282.33,27
1383342,14,2306,244.5,15
1081426,14,2826,305.58,202
1052841,14,1754,288.12,216
1178513,14,1971,320.13,80
1322103,14,1198,191.09,136
1289742,14,1311,124.16,242
1204787,14,1803,177.51,122
1473392,14,1558,610.13,96
1465489,14,2581,610.13,42
1292323,14,1962,612.13,190
1275848,14,2444,620.86,27
1357963,14,2867,619.86,42
1325042,14,2760,133.86,94
1458073,14,1525,292.03,41
1493839,14,2492,389.03,41
1324644,15,1885,117.37,366
1457975,15,1993,119.31,94
1324061,15,2539,122.28,134
1106049,15,2631,111.55,134
1095347,15,1248,98,108
1449045,15,1778,184.33,80
1247136,15,1062,184.33,256
1167239,15,2707,194.03,204
1029632,15,1207,324.98,297
1192779,15,1230,325.98,257
1094546,15,2322,321.1,298
1048948,15,2290,310.43,190
1245368,15,1727,445.23,339
1330647,15,1109,292.03,217
1321504,15,2640,282.33,15
1064184,15,2306,242.5,26
1411630,15,1216,407.43,14
1005258,15,2826,319.13,256
1285506,15,1754,287.12,324
1341450,15,1971,320.13,41
1056444,15,1198,187.24,162
1459620,15,1311,150.38,203
1167341,15,1803,160.05,55
1358170,15,1558,612.13,27
1035821,15,2581,612.13,80
1496783,15,1962,611.13,123
1279169,15,1445,618.86,14
1144772,15,2444,619.86,26
1003073,15,2867,620.86,14
1431472,15,2760,194,107
1240666,15,1525,292.03,27
1197605,15,2704,292.03,27
1493942,15,2492,389.03,28
1002426,15,1543,485.03,28
1239157,16,1885,117.37,67
1295405,16,1993,123.25,162
1200285,16,2539,122.28,188
1329883,16,2631,91.21,41
1148708,16,1248,92.15,80
1170793,16,1778,185.33,190
1418557,16,1062,178.51,175
1310957,16,2707,197.94,217
1000839,16,1207,319.19,269
1007393,16,1230,318.19,135
1499672,16,2322,320.1,231
1084939,16,2290,311.43,243
1144909,16,1727,447.23,269
1145897,16,1109,310.43,337
1195555,16,2640,280.33,27
1245067,16,2826,320.13,285
1371536,16,1754,288.12,148
1398984,16,1971,320.13,41
1404116,16,1198,79.54,53
1044909,16,1311,179.45,217
1034010,16,1803,128.04,69
1142738,16,1558,611.13,14
1415416,16,2581,612.13,15
1125803,16,1962,611.13,67
1112911,16,2760,196,123
1005638,16,2704,291.03,15
1315954,16,2492,387.03,27
1048178,16,1543,485.03,68
1056819,17,1885,122.28,270
1355849,17,1993,122.25,271
1499215,17,2539,102.85,67
1063963,17,2631,98,69
1488353,17,1248,97,27
1035249,17,1778,161.02,418
1174023,17,1062,161.05,351
1163631,17,2707,195.03,284
1098640,17,1207,316.25,270
1152474,17,1230,322.07,337
1061873,17,2322,318.22,244
1092180,17,2290,194,608
1069444,17,1727,446.23,391
1458293,17,1109,309.43,404
1287786,17,2640,280.33,13
1191253,17,1216,408.43,13
1131942,17,2826,273.54,433
1465344,17,1754,288.12,285
1089203,17,1971,320.13,80
1238979,17,1198,162.05,136
1367978,17,1311,141.62,122
1424698,17,1803,174.63,297
1219647,17,1558,611.13,42
1227187,17,2581,612.13,27
1305464,17,1962,610.13,122
1332829,17,1445,619.86,28
1495699,17,2444,619.86,28
1238664,17,2867,618.86,26
1430648,17,2760,231.83,67
1211172,17,1525,291.03,13
1135043,17,2492,388.03,14
1339257,17,1543,388.03,13
1278127,18,1885,120.28,350
1026933,18,1993,122.28,323
1193283,18,2539,121.28,150
1130466,18,2139,437.53,14
1277937,18,2631,96.06,108
1218390,18,1248,99,55
1324445,18,1778,161.99,325
1433015,18,1062,163.99,378
1362357,18,2707,195,175
1365812,18,1207,322.04,269
1087922,18,1230,319.16,405
1244413,18,2322,319.13,379
1401973,18,2290,311.43,231
1305801,18,1727,445.23,364
1477435,18,1109,310.43,230
1499380,18,1216,408.43,27
1095861,18,2826,211.46,1012
1358349,18,1754,192.06,2119
1249937,18,1971,321.13,123
1455974,18,1247,416.13,26
1389371,18,1311,191.09,134
1432529,18,1803,152.35,230
1138574,18,1558,611.13,41
1052293,18,2581,610.13,121
1431412,18,1962,610.13,81
1355464,18,2444,620.86,28
1253070,18,2867,618.86,15
1130461,18,2760,243.53,54
1365287,18,1525,290.03,15
1384217,18,2704,290.03,13
1070089,18,2492,389.03,28
1312598,18,1543,389.03,28
1027349,19,1885,120.28,244
1377241,19,1993,123.25,109
1333006,19,2539,123.25,94
1116305,19,2139,437.53,14
1469902,19,2631,251.23,28
1184460,19,1778,162.02,269
1159928,19,1062,159.11,231
1260300,19,2707,223.1,203
1000469,19,1207,379.3,55
1028447,19,1230,383.21,80
1187304,19,2322,384.18,177
1362732,19,2290,259.02,163
1045293,19,1727,446.23,190
1393050,19,1109,228.98,1027
1233135,19,2640,280.33,42
1214725,19,2306,244.5,42
1202873,19,2826,260.99,890
1309374,19,1754,240.59,1053
1072749,19,1971,292.03,122
1112951,19,1198,161.05,80
1242803,19,1311,240.59,107
1362947,19,1803,160.05,134
1368713,19,1558,612.13,55
1343571,19,2581,612.13,81
1327555,19,1962,611.13,108
1482040,19,1445,620.86,14
1474402,19,2867,620.86,28
1375666,19,2760,242.53,14
1048575,19,1525,291.03,14
1272112,19,2704,290.03,42
1105284,19,2492,387.03,40
1346734,19,1543,388.03,55
1024381,19,2304,388.03,13
1457080,19,2664,321.13,189
1466073,20,1885,121.28,188
1475570,20,1993,121.28,243
1390541,20,2539,113.55,136
1262933,20,2139,435.53,15
1411510,20,2631,252.23,27
1057629,20,1248,253.23,14
1332908,20,1778,160.05,297
1199615,20,1062,160.08,459
1290215,20,2707,224.13,109
1435969,20,1207,389,42
1275147,20,1230,383.15,107
1311964,20,2322,384.12,135
1015085,20,2290,274.57,231
1303303,20,1727,447.23,486
1293149,20,1109,252.2,365
1008904,20,2640,280.33,14
1440523,20,2306,243.5,26
1173426,20,2826,320.13,244
1384476,20,1754,258.05,323
1020814,20,1971,291.03,68
1270905,20,1198,129.04,68
1410431,20,1311,177.57,269
1058973,20,1803,183.36,94
1230432,20,1558,514.13,108
1304556,20,2581,515.13,40
1029948,20,1962,513.13,42
1182546,20,1445,619.86,15
1058620,20,2867,618.86,13
1041729,20,2760,242.53,42
1013888,20,1525,292.03,27
1460314,20,2492,389.03,14
1202711,20,1543,389.03,42
1258796,20,2304,388.03,13
1290340,20,2664,319.13,243
1430267,21,1885,120.34,136
1484348,21,1993,121.25,161
1002369,21,2539,120.28,177
1050270,21,2631,153.26,15
1484263,21,1248,154.26,40
1100453,21,1778,161.08,312
1257129,21,1062,159.08,215
1124259,21,2707,231.83,204
1200774,21,1207,390,69
1186818,21,1230,390,53
1008314,21,2322,312.4,69
1459657,21,2290,238.65,175
1322212,21,1727,446.23,325
1402310,21,1109,246.41,324
1156955,21,2640,281.33,14
1274955,21,2826,321.13,433
1172545,21,1754,269.72,323
1177437,21,1971,292.03,80
1313540,21,1247,447.23,13
1025842,21,1198,183.36,95
1276620,21,1311,171.75,202
1485581,21,1803,160.05,82
1101902,21,1558,513.13,55
1093791,21,2581,514.13,80
1051250,21,1962,513.13,82
1321208,21,1445,619.86,14
1315111,21,2444,618.86,14
1313644,21,2867,618.86,15
1309007,21,2760,243.53,55
1192315,21,1525,292.03,28
1307472,21,2704,291.03,14
1256023,21,2492,387.03,26
1490195,21,1543,435.53,26
1442431,21,2664,320.13,108
1127751,22,1885,122.25,296
1010406,22,1993,122.25,231
1414859,22,2539,123.25,108
1376670,22,2139,296.82,15
1107106,22,2631,154.26,13
1215531,22,1248,149.38,55
1495466,22,1778,162.02,555
1332807,22,1062,161.08,541
1385692,22,2707,228.01,298
1053417,22,1207,385.15,94
1383934,22,1230,383.18,176
1293777,22,2322,384.15,107
1333612,22,2290,311.43,215
1093382,22,1727,445.23,391
1087603,22,1109,255.14,393
1386718,22,2126,534.53,15
1014904,22,2826,320.13,285
1113409,22,1754,240.56,1916
1385182,22,1971,243.5,1135
1117360,22,1902,447.23,28
1304458,22,1198,168.81,256
1264602,22,1311,179.51,243
1104221,22,1803,147.44,175
1147139,22,1558,610.13,189
1371134,22,2581,611.13,27
1178989,22,1962,612.13,96
1365749,22,1445,619.86,26
1288311,22,2444,618.86,55
1447815,22,2867,620.86,13
1484321,22,2760,243.53,26
1360966,22,1525,243.5,54
1139681,22,2704,243.5,28
1074557,22,1543,486.03,13
1322373,22,2664,321.13,298
1256693,23,1885,162.05,188
1169617,23,1993,162.05,231
1251008,23,2539,148.44,14
1390559,23,2139,297.82,13
1036104,23,2631,154.26,42
1240763,23,1248,153.26,54
1469261,23,1778,161.99,459
1250427,23,1062,162.02,378
1016132,23,2707,231.89,190
1173303,23,1207,388,134
1410038,23,1230,384.15,107
1333563,23,2322,384.12,121
1119133,23,2290,281.33,162
1210675,23,1727,446.23,324
1184209,23,1109,290.06,189
1007656,23,2640,280.33,28
1035356,23,2826,321.13,176
1007959,23,1754,238.62,1322
1129264,23,1971,241.56,1148
1167349,23,1311,149.44,176
1413529,23,1803,184.36,190
1120632,23,1558,611.13,14
1082407,23,2581,612.13,95
1176894,23,1962,612.13,121
1299074,23,1445,620.86,28
1021951,23,2444,620.86,53
1355335,23,2760,241.53,13
1415073,23,1525,244.5,13
1210153,23,2704,244.5,69
1425434,23,2492,387.03,26
1360147,23,1543,486.03,13
1045282,23,2664,320.13,297
1013565,23,2490,254.2,41
1132283,24,1885,165.93,161
1131892,24,1993,162.96,161
1074941,24,2539,162.96,189
1139957,24,2139,298.82,27
1208988,24,2631,147.5,26
1093961,24,1778,184.33,242
1239347,24,1062,181.39,122
1082499,24,2707,195.03,501
1201350,24,1207,388,109
1407857,24,1230,379.3,55
1196221,24,2322,386.12,123
1429247,24,2290,309.43,203
1382651,24,1727,447.23,269
1131094,24,1109,233.83,217
1376232,24,2640,282.33,41
1396711,24,2826,319.13,310
1393592,24,1754,280.36,339
1022416,24,1971,287.18,134
1013314,24,1247,445.23,15
1442158,24,1198,162.05,82
1295504,24,1311,152.32,257
1466109,24,1558,612.13,53
1057270,24,2581,612.13,55
1302599,24,1962,612.13,54
1451462,24,2444,620.86,26
1157592,24,2867,618.86,27
1383960,24,1525,244.5,54
1151102,24,1543,486.03,13
1301340,24,2664,319.13,351
1491853,24,2490,253.2,121
1145816,25,1885,163.93,55
1427719,25,1993,164.93,230
1411140,25,2539,165.93,148
1055111,25,2631,153.26,27
1412259,25,1248,155.26,27
1117727,25,1778,184.33,163
1138947,25,1062,181.42,283
1258551,25,2707,196,541
1160765,25,1207,389,41
1482043,25,1230,382.18,95
1102862,25,2322,388,40
1067592,25,2290,310.43,204
1481625,25,1727,271.6,1999
1026643,25,1109,297.79,350
1061882,25,1216,406.43,27
1383205,25,2126,484.03,14
1302981,25,2826,319.13,459
1313931,25,1754,281.36,283
1198789,25,1971,291.03,95
1077257,25,1198,177.51,121
1276070,25,1311,161.05,80
1463136,25,1803,106.7,40
1132016,25,2581,610.13,109
1143535,25,1962,612.13,69
1391707,25,1445,532.53,26
1130083,25,2444,533.53,13
1166573,25,2867,533.53,27
1393814,25,2760,174.63,81
1146274,25,1525,291.03,14
1387849,25,2492,389.03,14
1377532,25,1543,484.03,42
1384148,25,2664,321.13,312
1033816,25,2490,254.2,149
1035577,26,1885,164.96,176
1464382,26,1993,161.99,95
1135595,26,2539,163.96,325
1309265,26,2139,296.82,28
1070682,26,1248,155.26,14
1273001,26,1778,185.33,204
1139121,26,1062,183.36,242
1083753,26,2707,193.06,391
1477963,26,1207,390,122
1039720,26,1230,382.24,68
1107094,26,2322,380.3,109
1420937,26,2290,311.43,161
1248273,26,1727,277.45,1174
1112055,26,1109,283.3,149
1232366,26,2640,280.33,40
1243456,26,1216,406.43,15
1362303,26,2826,321.13,364
1298568,26,1754,265.78,283
1424041,26,1971,311.43,81
1354631,26,1902,446.23,15
1040306,26,1198,129.04,69
1312089,26,1311,213.43,40
1327835,26,1803,155.2,108
1403208,26,1558,486.03,203
1012054,26,2581,484.03,256
1466199,26,1962,486.03,379
1002643,26,1445,532.53,13
1010176,26,2867,532.53,42
1159140,26,2760,175.63,54
1184065,26,1543,485.03,41
1271915,26,2664,332.71,310
1326146,26,2490,252.2,366
1092191,27,1885,121.25,202
1334981,27,1993,123.25,162
1111386,27,2539,122.25,177
1424912,27,2631,153.26,41
1195988,27,1248,149.41,41
1036177,27,1778,183.39,325
1042397,27,1062,182.36,352
1388537,27,2707,194.06,366
1455056,27,1207,389,82
1283447,27,1230,386.12,136
1350838,27,2322,386.12,121
1345633,27,2290,309.43,107
1115014,27,1727,445.23,297
1375959,27,1109,298.79,351
1451403,27,2640,281.33,55
1254612,27,2306,242.5,40
1387088,27,2826,320.13,94
1486594,27,1754,279.36,514
1322840,27,1971,309.43,80
1209773,27,1198,182.36,94
1319877,27,1311,143.62,244
1487823,27,1803,320.13,27
1040507,27,1558,484.03,215
1147906,27,2581,484.03,459
1488124,27,1962,484.03,405
1022193,27,1445,534.53,28
1077156,27,2444,534.53,55
1202991,27,2867,532.53,82
1098136,27,2760,175.63,27
1001937,27,1525,291.03,13
1186139,27,2704,290.03,26
1446982,27,2492,388.03,41
1390635,27,1543,484.03,28
1488758,27,2664,301.7,366
1404912,27,2569,260.93,41
1217995,27,2490,252.2,432
1318743,28,1885,122.28,296
1354841,28,1993,122.25,121
1146675,28,2539,121.25,149
1471119,28,2139,292,15
1483517,28,2631,153.26,28
1171511,28,1778,177.54,134
1070787,28,1062,179.48,175
1033977,28,2707,194.06,323
1064444,28,1207,389,135
1117849,28,1230,383.21,161
1190296,28,2322,384.12,149
1092769,28,2290,309.43,69
1420791,28,1727,446.23,420
1100735,28,1109,260.93,257
1485865,28,2306,339.53,27
1121548,28,1216,408.43,26
1154846,28,2126,532.53,27
1395993,28,2826,314.28,243
1026897,28,1754,280.36,161
1136131,28,1971,311.43,27
1140577,28,1902,445.23,15
1309508,28,1770,485.03,15
1154404,28,1198,136.77,95
1242853,28,1311,175.63,150
1364661,28,1803,161.05,27
1290282,28,1558,726.53,27
1051080,28,2581,726.53,96
1454348,28,1962,727.53,69
1390125,28,1445,534.53,28
1280031,28,2444,533.53,53
1046793,28,2867,533.53,14
1009528,28,2760,242.53,40
1468006,28,2704,261.93,28
1248790,28,2492,292,26
1455507,28,2664,334.71,311
1454135,28,2569,332.71,67
1259383,28,2490,253.2,109
1389231,29,1885,119.31,107
1309850,29,1993,121.25,242
1201941,29,2539,121.28,176
1044992,29,2139,291,14
1163844,29,2631,154.26,27
1089381,29,1248,155.26,15
1451035,29,1778,184.33,175
1009826,29,1062,181.39,270
1217382,29,2707,194,230
1327222,29,1207,389,108
1299777,29,1230,370.6,27
1038289,29,2322,382.24,67
1035532,29,2290,310.43,68
1290502,29,1727,445.23,473
1242234,29,1109,311.43,285
1496022,29,2826,309.43,472
1277010,29,1754,281.36,81
1078759,29,1971,310.43,68
1362323,29,1902,445.23,13
1326455,29,1247,445.23,15
1390765,29,1198,256.11,68
1098263,29,1311,160.05,109
1326180,29,1803,182.36,95
1047603,29,2581,728.53,28
1056859,29,1962,728.53,41
1157300,29,1445,619.86,28
1298660,29,2444,618.86,26
1168108,29,2867,618.86,14
1269958,29,1525,262.93,14
1126993,29,2704,260.93,15
1226200,29,2492,293,42
1289712,29,1543,486.03,14
1113083,29,2664,332.71,364
1304894,29,2569,332.71,96
1125612,29,2490,254.2,55
1055602,30,1885,122.28,135
